Trámite,Resolución/Sentencia,15/12/2021,SENT. APREMIO EN REBELDIA,SENT. APREMIO EN REBELDIA
Trámite,Resolución/Sentencia,15/12/2021,SENT. APREMIO EN REBELDIA,SENT. APREMIO EN REBELDIA
Escrito,sinMov2,02/12/2021,SOLICITA SENTENCIA,SOLICITA SENTENCIA
Trámite,Resolución/Sentencia,15/12/2021,SENT. APREMIO EN REBELDIA,SENT. APREMIO EN REBELDIA
